gene	isoform	strand	Probe ID	Probe class	dG
SYNE1	inclusion	sense	1	inclusion	-5.007
SYNE1	inclusion	anti	1	inclusion	-16.192
SYNE1	exclusion	sense	1	inclusion	-3.06
SYNE1	exclusion	anti	1	inclusion	-3.645
SYNE1	inclusion	sense	2	exclusion	-3.06
SYNE1	inclusion	anti	2	exclusion	-8.453
SYNE1	exclusion	sense	2	exclusion	-2.873
SYNE1	exclusion	anti	2	exclusion	-16.598
KIF13A	inclusion	sense	3	inclusion	-3.812
KIF13A	inclusion	anti	3	inclusion	-15.698
KIF13A	exclusion	sense	3	inclusion	-3.812
KIF13A	exclusion	anti	3	inclusion	-2.726
KIF13A	inclusion	sense	4	exclusion	-10.08
KIF13A	inclusion	anti	4	exclusion	-2.037
KIF13A	exclusion	sense	4	exclusion	-15.985
KIF13A	exclusion	anti	4	exclusion	-2.037
KIF13A	inclusion	sense	5	exclusion	-2.094
KIF13A	inclusion	anti	5	exclusion	-12.994
KIF13A	exclusion	sense	5	exclusion	-2.094
KIF13A	exclusion	anti	5	exclusion	-17.373
NUMA1	inclusion	sense	6	inclusion	-2.46
NUMA1	inclusion	anti	6	inclusion	-16.502
NUMA1	exclusion	sense	6	inclusion	-2.46
NUMA1	exclusion	anti	6	inclusion	-4.552
NUMA1	inclusion	sense	7	exclusion	-3.504
NUMA1	inclusion	anti	7	exclusion	-11.897
NUMA1	exclusion	sense	7	exclusion	-3.504
NUMA1	exclusion	anti	7	exclusion	-13.48
NUMA1	inclusion	sense	8	exclusion	-2.804
NUMA1	inclusion	anti	8	exclusion	-8.918
NUMA1	exclusion	sense	8	exclusion	-2.804
NUMA1	exclusion	anti	8	exclusion	-10.501
NUMA1	inclusion	sense	9	exclusion	-3.03
NUMA1	inclusion	anti	9	exclusion	-9.426
NUMA1	exclusion	sense	9	exclusion	-3.03
NUMA1	exclusion	anti	9	exclusion	-13.246
