sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"syne","4a8f22d6-3748-49c9-9966-c24a23434852","Nanoplate 8.5K 96-well","A1","Cal0","Sample","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
"","","","A1","Cal0","Sample","SYNE1","SYNE1_excl","-","ET","29098.4","-","31.5%","-","-","100.0000%","0%","-","-","-","-","-"
"","","","A2","Cal10","Sample","SYNE1","SYNE1_incl","-","WT","2316.0","-","3.1%","-","-","-","-","-","-","-","-","-"
"","","","A2","Cal10","Sample","SYNE1","SYNE1_excl","-","ET","23269.9","-","15.2%","-","-","90.9483%","1%","-","-","-","-","-"
"","","","A3","Cal20","Sample","SYNE1","SYNE1_incl","-","WT","4855.1","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","A3","Cal20","Sample","SYNE1","SYNE1_excl","-","ET","22825.0","-","13.5%","-","-","82.4601%","2%","-","-","-","-","-"
"","","","A4","Cal30","Sample","SYNE1","SYNE1_incl","-","WT","6540.1","-","2.7%","-","-","-","-","-","-","-","-","-"
"","","","A4","Cal30","Sample","SYNE1","SYNE1_excl","-","ET","17271.6","-","5.9%","-","-","72.5343%","2%","-","-","-","-","-"
"","","","A5","Cal40","Sample","SYNE1","SYNE1_incl","-","WT","8632.4","-","3.0%","-","-","-","-","-","-","-","-","-"
"","","","A5","Cal40","Sample","SYNE1","SYNE1_excl","-","ET","13719.7","-","4.3%","-","-","61.3798%","2%","-","-","-","-","-"
"","","","A6","Cal50","Sample","SYNE1","SYNE1_incl","-","WT","8882.6","-","3.0%","-","-","-","-","-","-","-","-","-"
"","","","A6","Cal50","Sample","SYNE1","SYNE1_excl","-","ET","8956.0","-","3.0%","-","-","50.2058%","2%","-","-","-","-","-"
"","","","A7","Cal60","Sample","SYNE1","SYNE1_incl","-","WT","12292.3","-","3.7%","-","-","-","-","-","-","-","-","-"
"","","","A7","Cal60","Sample","SYNE1","SYNE1_excl","-","ET","8304.2","-","2.9%","-","-","40.3186%","3%","-","-","-","-","-"
"","","","A8","Cal70","Sample","SYNE1","SYNE1_incl","-","WT","13429.3","-","4.1%","-","-","-","-","-","-","-","-","-"
"","","","A8","Cal70","Sample","SYNE1","SYNE1_excl","-","ET","5945.7","-","2.7%","-","-","30.6876%","3%","-","-","-","-","-"
"","","","A9","Cal80","Sample","SYNE1","SYNE1_incl","-","WT","17179.7","-","5.9%","-","-","-","-","-","-","-","-","-"
"","","","A9","Cal80","Sample","SYNE1","SYNE1_excl","-","ET","4390.5","-","2.7%","-","-","20.3543%","5%","-","-","-","-","-"
"","","","A10","Cal90","Sample","SYNE1","SYNE1_incl","-","WT","18047.0","-","6.4%","-","-","-","-","-","-","-","-","-"
"","","","A10","Cal90","Sample","SYNE1","SYNE1_excl","-","ET","2143.4","-","3.2%","-","-","10.6161%","6%","-","-","-","-","-"
"","","","A11","Cal100","Sample","SYNE1","SYNE1_incl","-","WT","18288.4","-","6.7%","-","-","-","-","-","-","-","-","-"
"","","","A11","Cal100","Sample","SYNE1","SYNE1_excl","-","ET","283.5","-","7.4%","-","-","1.5265%","10%","-","-","-","-","-"
"","","","A12","NTC","Non Template Control","SYNE1","SYNE1_incl","-","WT","0.000","-","-","-","-","-","-","-","-","-","-","-"
