sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Type)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Edited fraction","CI (95%)","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"rPCR_20250916 KIF13A","5b5e5735-8994-4926-983f-d568569fa30e","Nanoplate 8.5K 96-well","A1","CalA_0","Sample","KIF13A","Incl","-","ET","0.000","-","-","0.000","-","0%","-","1","1","10","-","-"
"","","","A1","CalA_0","Sample","KIF13A","Excl","-","WT","2071.8","-","3.2%","20717.9","-","-","-","1","1","10","-","-"
"","","","A2","CalA_5","Sample","KIF13A","Incl","-","ET","109.6","-","11.8%","1096.3","-","5.0108%","12%","1","1","10","-","-"
"","","","A2","CalA_5","Sample","KIF13A","Excl","-","WT","2078.2","-","3.2%","20782.0","-","-","-","1","1","10","-","-"
"","","","A3","CalA_15","Sample","KIF13A","Incl","-","ET","292.2","-","7.3%","2922.0","-","15.3816%","7%","1","1","10","-","-"
"","","","A3","CalA_15","Sample","KIF13A","Excl","-","WT","1607.5","-","3.5%","16074.8","-","-","-","1","1","10","-","-"
"","","","A4","CalA_25","Sample","KIF13A","Incl","-","ET","479.7","-","5.8%","4796.7","-","26.2901%","5%","1","1","10","-","-"
"","","","A4","CalA_25","Sample","KIF13A","Excl","-","WT","1344.9","-","3.8%","13448.5","-","-","-","1","1","10","-","-"
"","","","A5","CalA_35","Sample","KIF13A","Incl","-","ET","602.1","-","5.2%","6020.9","-","34.5469%","4%","1","1","10","-","-"
"","","","A5","CalA_35","Sample","KIF13A","Excl","-","WT","1140.7","-","4.0%","11407.3","-","-","-","1","1","10","-","-"
"","","","A6","CalA_50","Sample","KIF13A","Incl","-","ET","889.8","-","4.6%","8898.4","-","50.2624%","3%","1","1","10","-","-"
"","","","A6","CalA_50","Sample","KIF13A","Excl","-","WT","880.5","-","4.6%","8805.5","-","-","-","1","1","10","-","-"
"","","","A7","CalA_65","Sample","KIF13A","Incl","-","ET","1128.1","-","4.0%","11281.2","-","64.0797%","2%","1","1","10","-","-"
"","","","A7","CalA_65","Sample","KIF13A","Excl","-","WT","632.4","-","5.2%","6323.8","-","-","-","1","1","10","-","-"
"","","","A8","CalA_75","Sample","KIF13A","Incl","-","ET","1350.1","-","3.8%","13501.3","-","72.8687%","2%","1","1","10","-","-"
"","","","A8","CalA_75","Sample","KIF13A","Excl","-","WT","502.7","-","5.7%","5027.0","-","-","-","1","1","10","-","-"
"","","","A9","CalA_85","Sample","KIF13A","Incl","-","ET","1512.9","-","3.6%","15129.3","-","85.1447%","1%","1","1","10","-","-"
"","","","A9","CalA_85","Sample","KIF13A","Excl","-","WT","264.0","-","7.7%","2639.6","-","-","-","1","1","10","-","-"
"","","","A10","CalA_95","Sample","KIF13A","Incl","-","ET","1807.9","-","3.4%","18079.5","-","95.4447%","1%","1","1","10","-","-"
"","","","A10","CalA_95","Sample","KIF13A","Excl","-","WT","86.29","-","13.4%","862.9","-","-","-","1","1","10","-","-"
"","","","A11","CalA_100","Sample","KIF13A","Incl","-","ET","1876.9","-","3.3%","18769.0","-","99.8126%","0%","1","1","10","-","-"
"","","","A11","CalA_100","Sample","KIF13A","Excl","-","WT","3.524","-","65.3%","35.24","-","-","-","1","1","10","-","-"
"","","","A12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.383","-","147.5%","-","-","100.0000%","3%","-","-","10","-","-"
"","","","A12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","B1","CalA_0","Sample","KIF13A","Incl","-","ET","0.000","-","-","0.000","-","0%","-","1","1","10","-","-"
"","","","B1","CalA_0","Sample","KIF13A","Excl","-","WT","1987.8","-","3.3%","19877.9","-","-","-","1","1","10","-","-"
"","","","B2","CalA_5","Sample","KIF13A","Incl","-","ET","104.5","-","12.2%","1045.4","-","4.7304%","12%","1","1","10","-","-"
"","","","B2","CalA_5","Sample","KIF13A","Excl","-","WT","2105.5","-","3.2%","21055.0","-","-","-","1","1","10","-","-"
"","","","B3","CalA_15","Sample","KIF13A","Incl","-","ET","292.3","-","7.4%","2923.5","-","15.1401%","7%","1","1","10","-","-"
"","","","B3","CalA_15","Sample","KIF13A","Excl","-","WT","1638.6","-","3.5%","16386.1","-","-","-","1","1","10","-","-"
"","","","B4","CalA_25","Sample","KIF13A","Incl","-","ET","456.1","-","6.1%","4560.7","-","24.6460%","5%","1","1","10","-","-"
"","","","B4","CalA_25","Sample","KIF13A","Excl","-","WT","1394.4","-","3.8%","13944.2","-","-","-","1","1","10","-","-"
"","","","B5","CalA_35","Sample","KIF13A","Incl","-","ET","639.9","-","5.2%","6398.9","-","35.3823%","4%","1","1","10","-","-"
"","","","B5","CalA_35","Sample","KIF13A","Excl","-","WT","1168.6","-","4.0%","11686.1","-","-","-","1","1","10","-","-"
"","","","B6","CalA_50","Sample","KIF13A","Incl","-","ET","848.5","-","4.6%","8484.7","-","48.2492%","3%","1","1","10","-","-"
"","","","B6","CalA_50","Sample","KIF13A","Excl","-","WT","910.0","-","4.5%","9100.4","-","-","-","1","1","10","-","-"
"","","","B7","CalA_65","Sample","KIF13A","Incl","-","ET","1138.8","-","4.1%","11388.5","-","64.6073%","2%","1","1","10","-","-"
"","","","B7","CalA_65","Sample","KIF13A","Excl","-","WT","623.9","-","5.3%","6238.7","-","-","-","1","1","10","-","-"
"","","","B8","CalA_75","Sample","KIF13A","Incl","-","ET","1348.0","-","3.8%","13480.2","-","72.9999%","2%","1","1","10","-","-"
"","","","B8","CalA_75","Sample","KIF13A","Excl","-","WT","498.6","-","5.8%","4985.9","-","-","-","1","1","10","-","-"
"","","","B9","CalA_85","Sample","KIF13A","Incl","-","ET","1487.5","-","3.6%","14874.8","-","84.7408%","1%","1","1","10","-","-"
"","","","B9","CalA_85","Sample","KIF13A","Excl","-","WT","267.8","-","7.8%","2678.5","-","-","-","1","1","10","-","-"
"","","","B10","CalA_95","Sample","KIF13A","Incl","-","ET","1750.0","-","3.4%","17499.8","-","95.2645%","1%","1","1","10","-","-"
"","","","B10","CalA_95","Sample","KIF13A","Excl","-","WT","86.99","-","13.4%","869.9","-","-","-","1","1","10","-","-"
"","","","B11","CalA_100","Sample","KIF13A","Incl","-","ET","1816.7","-","3.3%","18167.3","-","99.8704%","0%","1","1","10","-","-"
"","","","B11","CalA_100","Sample","KIF13A","Excl","-","WT","2.358","-","80.0%","23.58","-","-","-","1","1","10","-","-"
"","","","B12","NTC","Non Template Control","KIF13A","Incl","-","ET","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","B12","NTC","Non Template Control","KIF13A","Excl","-","WT","0.000","-","-","-","-","-","-","-","-","10","-","-"
"","","","C1","CalA_0","Sample","KIF13A","Incl","-","ET","1.555","-","98.0%","15.55","-","0.0785%","98%","1","1","10","-","-"
"","","","C1","CalA_0","Sample","KIF13A","Excl","-","WT","1979.3","-","3.2%","19793.3","-","-","-","1","1","10","-","-"
"","","","C2","CalA_5","Sample","KIF13A","Incl","-","ET","92.27","-","12.9%","922.7","-","4.2446%","13%","1","1","10","-","-"
"","","","C2","CalA_5","Sample","KIF13A","Excl","-","WT","2081.7","-","3.2%","20816.5","-","-","-","1","1","10","-","-"
