"tolerance"	"cycle_max"	"cycle_time"	"startPrimer"	"startTemplate"	"startRatio"	"ProbeA"	"ProbeB"	"Signal_A"	"Signal_B"	"Primer_k1"	"Primer_k2"	"ProbeA_k1"	"ProbeA_k2"	"ProbeB_k1"	"ProbeB_k2"	"hetero_k1"	"hetero_k2"	"rehybA_k1"	"rehybA_k2"	"rehybB_k1"	"rehybB_k2"	"Polymerase"	"RdsPoly_k1"	"RdsPoly_k2"	"RiniPoly_k1"	"RiniPoly_k2"	"RextPoly_k1"	"sFluoA"	"sFluoB"	"bFluoA"	"bFluoB"	"lFluoA"	"lFluoB"	"Aa_PB_k1"	"Aa_PB_k2"	"Ba_PA_k1"	"Ba_PA_k2"	"stopTime"	"stepSize"	"rep(1, length(template))"
1e-08	4	45	4.99999999999e-07	1e-18	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	4.47222222221333e-07	5.27777777786667e-08	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	3.94444444443667e-07	1.05555555556333e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	3.41666666666e-07	1.58333333334e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	2.88888888888333e-07	2.11111111111667e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	2.36111111110667e-07	2.63888888889333e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	1.83333333333e-07	3.16666666667e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	1.30555555555333e-07	3.69444444444667e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	7.77777777776667e-08	4.22222222222333e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
1e-08	4	45	2.5e-08	4.75e-07	0.5	0	0	0	0	2e+05	0.001	3e+05	0.001	3e+05	0.001	1e+06	1e-04	1e+06	1e-04	1e+06	1e-04	2e-07	1e+06	0.001	1e+06	0.001	60	5e+07	5e+07	1	1	0	0	1e-20	1e+20	1e-20	1e+20	180	45	1
